q_id,doc_id,policy,retriever,budget,retrieved_chunks_count,retrieved_tokens,evidence_recall,evidence_coverage,mrr,ndcg,gpc,cma,cdf,mean_isd,mean_ibi
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-256,BM25,512,1,268,0.2625,0.0,0.0,0.0,0.4393824907748094,0.8334524947054246,0.663067365303146,0.34924027986605377,0.08925541709451114
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-256,BM25,1024,3,809,1.0,1.0,0.3333333333333333,0.5,0.4393824907748094,0.8334524947054246,0.663067365303146,0.34924027986605377,0.08925541709451114
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-512,Dense,256,1,549,1.0,1.0,1.0,1.0,0.42914132600734733,0.8559528291225433,0.712604557834872,0.3245937110856175,0.08166548609733582
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-512,Dense,512,1,549,1.0,1.0,1.0,1.0,0.42914132600734733,0.8559528291225433,0.712604557834872,0.3245937110856175,0.08166548609733582
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-512,Dense,1024,1,549,1.0,1.0,1.0,1.0,0.42914132600734733,0.8559528291225433,0.712604557834872,0.3245937110856175,0.08166548609733582
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-512,BM25,256,1,549,1.0,1.0,1.0,1.0,0.42914132600734733,0.8559528291225433,0.712604557834872,0.3245937110856175,0.08166548609733582
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-512,BM25,512,1,549,1.0,1.0,1.0,1.0,0.42914132600734733,0.8559528291225433,0.712604557834872,0.3245937110856175,0.08166548609733582
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Fixed-512,BM25,1024,1,549,1.0,1.0,1.0,1.0,0.42914132600734733,0.8559528291225433,0.712604557834872,0.3245937110856175,0.08166548609733582
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Recursive-256,Dense,256,1,237,1.0,1.0,1.0,1.0,0.4646737011183679,0.7911580869784722,0.6154652017274981,0.36698244941922337,0.13976887785471404
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Recursive-256,Dense,512,2,487,1.0,1.0,1.0,1.0,0.4646737011183679,0.7911580869784722,0.6154652017274981,0.36698244941922337,0.13976887785471404
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Recursive-256,Dense,1024,4,851,1.0,1.0,1.0,1.0,0.4646737011183679,0.7911580869784722,0.6154652017274981,0.36698244941922337,0.13976887785471404
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Recursive-256,BM25,256,1,251,0.2625,0.0,0.0,0.0,0.4646737011183679,0.7911580869784722,0.6154652017274981,0.36698244941922337,0.13976887785471404
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Recursive-256,BM25,512,2,505,0.45,0.0,0.0,0.0,0.4646737011183679,0.7911580869784722,0.6154652017274981,0.36698244941922337,0.13976887785471404
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Recursive-256,BM25,1024,4,980,0.4875,0.0,0.0,0.0,0.4646737011183679,0.7911580869784722,0.6154652017274981,0.36698244941922337,0.13976887785471404
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Semantic-75,Dense,256,2,70,0.2,0.0,0.0,0.0,0.6144230442999156,0.7266986167177241,0.566715970275997,0.7072937096545889,0.30407469259931685
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,Semantic-75,Dense,512,4,322,0.4375,0.0,0.0,0.0,0.6144230442999156,0.7266986167177241,0.566715970275997,0.7072937096545889,0.30407469259931685
