doc_id,genre,strategy,num_chunks,avg_chunk_sentences,mean_isd,mean_ibi,document_gpc,document_cma,document_cdf
1605.06083,scientific,Semantic-75,28,3.7857142857142856,0.6273986340633461,0.34395781904459,0.5955067013721698,0.7164091244339943,0.561375089211736
1605.06083,scientific,RandomMatched,10,10.6,0.3711403193883598,0.21318676173686982,0.47389214219213327,0.7431541860103608,0.6352021648214147
1605.06083,scientific,ShuffledNull,10,10.6,0.17665675794705749,0.15745843350887298,0.41533520593387985,0.6181181907653809,0.6577640183000233
1804.05918,scientific,GoldSection,16,9.375,0.5045860098907724,0.15380228869616985,0.5006419451461613,0.8349770829081535,0.6334758354144903
1804.05918,scientific,Fixed-128,29,5.172413793103448,0.45694406526484366,0.12228454700831709,0.47864648140875216,0.7982139196889154,0.6169830879853015
1804.05918,scientific,Fixed-256,16,9.6875,0.41194237215677276,0.10579948872327805,0.4632269551140037,0.8574321046471596,0.6585904850690587
1804.05918,scientific,Fixed-512,9,18.0,0.36859961200712454,0.07259957326783074,0.4374252697566004,0.8602050079239739,0.7201262290340871
1804.05918,scientific,Recursive-256,24,6.25,0.5497199345360665,0.15008546908696493,0.5133272118711999,0.8191666329900423,0.619807277916439
1804.05918,scientific,Semantic-75,39,3.8461538461538463,0.7465277467896297,0.29645734566908616,0.6224184023898043,0.7597545171395327,0.5734968200507936
1804.05918,scientific,RandomMatched,16,9.375,0.4532520743414352,0.1583954021334648,0.49217955389095763,0.8229492641985416,0.637038989634134
1804.05918,scientific,ShuffledNull,16,9.375,0.380163984693354,0.09375864081084728,0.44352225727837913,0.6908818483352661,0.6808395244830393
1809.04267,scientific,GoldSection,18,10.5,0.4306248041232013,0.20649544894695282,0.4972355294468963,0.7818278206719292,0.6291049839230288
1809.04267,scientific,Fixed-128,29,6.551724137931035,0.3167309554309809,0.16344271446096487,0.45838864837445825,0.7443533395898754,0.6033196456848298
1809.04267,scientific,Fixed-256,16,12.375,0.27869557082885876,0.1311876904219389,0.4349932444430462,0.7782734334468842,0.648420718273273
1809.04267,scientific,Fixed-512,8,24.875,0.2604870467912406,0.11124756559729576,0.42236465187544764,0.8403006419539452,0.7223740587620222
1809.04267,scientific,Recursive-256,28,6.75,0.4487217974050769,0.21769053169659205,0.508155694492489,0.7461348601749965,0.6029421255281076
1809.04267,scientific,Semantic-75,48,3.9375,0.657150604982841,0.2944670394062996,0.5898514879380382,0.6924403409163157,0.5687128454590454
1809.04267,scientific,RandomMatched,18,10.5,0.3590639313010292,0.2050725089179145,0.4789356819845306,0.7599181367291344,0.6240442554141652
1809.04267,scientific,ShuffledNull,18,10.5,0.3445365501360761,0.18903974526458317,0.4572732352381394,0.6091041680839326,0.6519779655389812
1901.05287,scientific,GoldSection,6,10.333333333333334,0.30908914787384373,0.18237496415774027,0.4626811933650064,0.8617392579714457,0.6787043438554958
1901.05287,scientific,Fixed-128,11,5.636363636363637,0.36696837170430546,0.14214180274443192,0.463959003004313,0.7905967777425592,0.6204256346390791
